id,distractor,tv,reading,music,talking_phone,messaging,socnet,comp_video,other_comp,games,tv_socnet,tv_messaging,tv_comp_video,tv_other_comp,socnet_tv,socnet_messaging,socnet_comp_video,socnet_other_comp,messaging_tv,messaging_socnet,messaging_comp_video,messaging_other_comp,comp_video_tv,comp_video_socnet,comp_video_messaging,comp_video_other_comp,other_comp_tv,other_comp_socnet,other_comp_messaging,other_comp_comp_video,yob,gender,first_language,faculty,academic_performance,parents_qualification,navigation_tool,life1,life2,life3,recall_1,recall_2
272,absa,Not at all,Less than 30 minutes,3 hours or more,Less than 30 minutes,2-3 hours,3 hours or more,3 hours or more,1-2 hours,Less than 30 minutes,Often,Often,Never,Sometimes,Sometimes,Often,Never,Sometimes,Often,Often,Often,Sometimes,Never,Often,Often,Sometimes,Never,Often,Often,Often,1996,Male,Afrikaans,Law,70-75%,University - Bachelors,Mouse,64,11,8,Absa,Shared growth
273,absa,Not at all,30 minute to 1 hour,1-2 hours,Less than 30 minutes,3 hours or more,Not at all,3 hours or more,3 hours or more,30 minute to 1 hour,Never,Never,Never,Never,Never,Often,Often,Often,Never,Often,Often,Often,Never,Often,Often,Often,Never,Often,Often,Often,1994,Male,English,Arts and Social Sciences,55-60%,Matric,Mouse,39,43,26,Absa,Shared growth
274,absa,Not at all,Less than 30 minutes,3 hours or more,1-2 hours,3 hours or more,1-2 hours,30 minute to 1 hour,Less than 30 minutes,Not at all,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Never,Sometimes,Often,Never,Never,Sometimes,Often,Sometimes,1998,Female,Other European language,Engineering,55-60%,Matric,Mouse,22,26,8,Absa,Personal growth
275,absa,30 minute to 1 hour,1-2 hours,1-2 hours,Less than 30 minutes,1-2 hours,Less than 30 minutes,1-2 hours,Less than 30 minutes,3 hours or more,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,1994,Male,English,Science,60-65%,Matric,Mouse,48,26,19,FNB,Shared growth
276,absa,Not at all,30 minute to 1 hour,30 minute to 1 hour,1-2 hours,2-3 hours,3 hours or more,2-3 hours,1-2 hours,Not at all,Often,Often,Never,Never,Often,Often,Never,Never,Often,Often,Often,Never,Never,Often,Often,Never,Often,Often,Sometimes,Often,1997,Female,English,Arts and Social Sciences,70-75%,Matric,Touch pad,9,8,14,Absa,Shared growth
277,absa,Not at all,30 minute to 1 hour,Less than 30 minutes,Less than 30 minutes,30 minute to 1 hour,Less than 30 minutes,1-2 hours,30 minute to 1 hour,30 minute to 1 hour,Sometimes,Very often,Never,Never,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Never,Sometimes,Often,Sometimes,Never,Sometimes,Often,Sometimes,1998,Male,Afrikaans,Economic and Management Sciences,60-65%,University - Honours,Touch pad,19,35,19,Standard Bank,Shared growth
278,absa,30 minute to 1 hour,30 minute to 1 hour,2-3 hours,Less than 30 minutes,3 hours or more,1-2 hours,3 hours or more,30 minute to 1 hour,Not at all,Very often,Very often,Sometimes,Sometimes,Very often,Very often,Very often,Sometimes,Often,Sometimes,Very often,Sometimes,Never,Very often,Often,Sometimes,Sometimes,Very often,Often,Very often,1997,Female,English,Arts and Social Sciences,65-70%,University - Honours,Mouse,14,8,24,Standard Bank,Shared growth
279,absa,Not at all,Not at all,30 minute to 1 hour,Less than 30 minutes,3 hours or more,3 hours or more,2-3 hours,1-2 hours,Not at all,Very often,Very often,Never,Never,Very often,Very often,Very often,Sometimes,Very often,Very often,Very often,Often,Never,Often,Very often,Never,Often,Often,Very often,Often,1998,Female,English,Arts and Social Sciences,65-70%,University - Bachelors,Touch pad,6,14,8,Absa,Personal growth
280,absa,30 minute to 1 hour,2-3 hours,1-2 hours,30 minute to 1 hour,2-3 hours,30 minute to 1 hour,3 hours or more,1-2 hours,Not at all,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Never,Very often,Very often,Sometimes,Sometimes,Often,Sometimes,Never,Sometimes,Sometimes,Often,Very often,1998,Male,Afrikaans,Engineering,60-65%,University - Bachelors,Mouse,57,74,74,Absa,Personal growth
281,absa,Not at all,30 minute to 1 hour,1-2 hours,30 minute to 1 hour,3 hours or more,1-2 hours,1-2 hours,Less than 30 minutes,Not at all,Often,Often,Never,Never,Never,Sometimes,Often,Never,Never,Never,Often,Never,Never,Often,Often,Sometimes,Never,Never,Never,Often,1997,Female,English,Law,70-75%,University - Honours,Touch pad,28,8,22,Nedbank,Personal growth
